                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3489,                0.82825,                 1.1265,                0.73086,                 0.5925,                0.67954,                0.38808,                 1.8928,                 1.3121,                 1.5191,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3511,                0.82441,                  1.113,                0.72564,                0.62816,                0.68058,                0.39303,                 1.9287,                 1.3825,                 1.5836,               0.000948,               0.000948,               0.000948
                     37,                 1.3184,                0.78966,                 1.1106,                  0.739,                0.52478,                0.63954,                0.36921,                 1.8725,                 1.4723,                 1.4742,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3687,                0.81451,                 1.1149,                0.68637,                 0.6685,                0.65064,                0.42479,                 1.8046,                 1.2901,                 1.4147,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3139,                0.76101,                 1.1361,                0.72613,                0.56082,                0.65622,                0.43697,                  1.823,                 1.4035,                 1.4541,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3037,                0.76054,                 1.0967,                0.69347,                0.60648,                0.64647,                0.44869,                 1.8875,                 1.4376,                  1.494,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2711,                0.77267,                  1.118,                0.71502,                 0.7335,                0.70903,                0.47844,                 1.8553,                 1.4142,                 1.4777,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3129,                0.78849,                 1.1076,                0.70102,                 0.7335,                0.71445,                0.46585,                 1.8868,                 1.3711,                 1.5319,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2702,                 0.7559,                 1.1036,                0.67067,                0.69173,                0.69096,                0.45245,                 1.8498,                 1.3203,                 1.5298,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2755,                0.75944,                 1.1177,                0.70499,                0.65412,                0.64523,                 0.3878,                 1.9198,                 1.4707,                 1.5702,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2362,                0.74706,                 1.0792,                 0.6305,                0.60459,                0.62546,                0.34724,                 1.9915,                 1.3882,                 1.5652,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2702,                0.75867,                 1.0947,                 0.7328,                0.62194,                0.66831,                0.33905,                 1.9262,                 1.3423,                 1.4956,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2973,                0.78755,                 1.1168,                 0.7292,                0.54238,                0.57206,                0.30892,                 1.9025,                 1.3592,                 1.5551,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2454,                0.73879,                 1.0984,                0.65133,                0.63747,                0.64811,                0.42721,                 1.9246,                 1.3452,                 1.5148,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.246,                0.70446,                 1.0856,                0.61581,                0.65006,                0.63899,                0.41999,                  1.876,                 1.2861,                 1.4874,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2244,                 0.7124,                 1.0694,                0.65085,                0.65367,                0.66257,                0.45186,                 1.9312,                 1.3095,                 1.5202,             0.00074994,             0.00074994,             0.00074994
                     51,                  1.188,                0.68811,                 1.0551,                0.73956,                 0.6306,                0.70522,                0.43315,                 1.9042,                 1.2691,                 1.5361,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2218,                0.68394,                   1.06,                 0.6544,                0.66117,                0.64122,                0.38567,                  1.836,                  1.196,                 1.4957,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2139,                0.68857,                 1.0657,                 0.6551,                0.65016,                0.59912,                0.36783,                 1.8349,                 1.2301,                 1.4935,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1769,                0.67087,                 1.0491,                0.62612,                0.55283,                0.61427,                0.37926,                 1.8537,                 1.2833,                 1.4901,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2083,                0.69672,                 1.0591,                0.65282,                0.49805,                 0.5871,                0.37447,                 1.9071,                 1.3605,                 1.5062,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1846,                0.68334,                 1.0316,                0.59448,                 0.7225,                0.65183,                0.40573,                 1.8849,                 1.5172,                 1.5188,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2095,                0.68198,                 1.0497,                0.64996,                 0.5926,                0.58002,                0.38237,                 1.9021,                 1.6519,                 1.5035,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1698,                0.65551,                 1.0358,                0.61002,                0.57783,                0.59783,                0.37981,                 1.8714,                 1.4648,                 1.5016,             0.00063676,             0.00063676,             0.00063676
                     59,                   1.17,                0.66712,                 1.0477,                0.74811,                0.49248,                0.59741,                0.38455,                 1.8772,                 1.4305,                 1.5064,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1518,                 0.6584,                 1.0343,                0.83196,                0.47626,                0.60905,                0.38738,                 1.9165,                 1.3964,                 1.5648,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1613,                0.65591,                 1.0391,                0.58268,                0.58272,                0.59282,                0.37698,                  1.821,                 1.3638,                 1.4774,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1274,                0.60757,                 1.0308,                0.62721,                0.68852,                0.63415,                0.38123,                 1.7819,                 1.3414,                 1.4524,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1363,                0.63073,                 1.0366,                0.68556,                0.60972,                0.65125,                0.36291,                  1.904,                 1.3418,                  1.554,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1502,                0.64807,                 1.0345,                 0.7466,                0.71446,                    0.7,                0.39076,                 1.8821,                 1.2549,                 1.5249,             0.00055188,             0.00055188,             0.00055188
